sentence	implicit_content	impl
Non volete davvero dire che la manovra l’ha scritta qualcun altro, spero, perché sarebbe davvero drammatico! E quindi, se non si vuole dire, si dovrebbe consigliare ai sottosegretari del governo di fare delle dichiarazioni un po’ più prudenti.	"Le implicature sorgono nella comunicazione ogni volta che il parlante ""sfida"" una delle quattro massime conversazionali in cui si declina il noto Principio di Cooperazione, secondo il quale al parlante è richiesto di fornire il proprio contributo ""così come è richiesto al momento opportuno dagli scopi e dall’orientamento del discorso in cui si è impegnati"". Le massime conversazionali possono regolare la quantità dell’informazione fornita dal parlante (Massima di Quantità), il suo valore di verità (Massima di Qualità) la sua pertinenza (Massima di Relazione) e la sua modalità di presentazione nello scambio in corso (Massima di Modo). Nell'esempio proposto, il politico, attraverso lo sfruttamento della Massima di Quantità, implica che i sottosegretari al governo abbiano fatto dichiarazioni poco prudenti, senza chiarirne il contenuto."	impl
Ma, un Paese così non tiene, non tiene. Di Maio, Salvini, non tiene un Paese che viene governato dall’odio	"Le implicature sorgono nella comunicazione ogni volta che il parlante ""sfida"" una delle quattro massime conversazionali in cui si declina il noto Principio di Cooperazione, secondo il quale al parlante è richiesto di fornire il proprio contributo ""così come è richiesto al momento opportuno dagli scopi e dall’orientamento del discorso in cui si è impegnati"". Le massime conversazionali possono regolare la quantità dell’informazione fornita dal parlante (Massima di Quantità), il suo valore di verità (Massima di Qualità) la sua pertinenza (Massima di Relazione) e la sua modalità di presentazione nello scambio in corso (Massima di Modo). Nell’esempio proposto, mediante sfruttamento della Massima di Relazione, è implicato conversazionalmente che il governo messo in piedi da Salvini e Di Maio si regga sull’odio e sull’intolleranza."	impl
Ma è accaduto come per le api dell’amaro verso col quale Virgilio accusava i profittatori dell’opera sua. Ricordate: voi fate il miele, o Api, ma sono gli altri che lo godono	 Un genere di implicatura, che nasce dallo sfruttamento della Massima di Relazione, conversazionale è quella che definiamo da metafora, e che origina dall’associazione di campi semantici distinti ma accomunati da proprietà affini. Nell’esempio proposto, l’associazione tra la condizione dei lavoratori e quella delle api fa implicare, per assunto di cooperatività, che gli operai non godano del frutto del loro lavoro.	impl
Il nostro pensiero va alle forze dell’ordine e ai tanti magistrati che compiono, in silenzio, il proprio dovere.	Le implicature conversazionali generalizzate valgono in qualsiasi contesto e si ricavano dal mero assunto di conformità del parlante al Principio di Cooperazione. Nell’esempio proposto, l’implicatura è generalizzata poiché è derivabile in qualsiasi contesto e consiste nel sostenere che non tutti i magistrati compiano il proprio dovere.	impl
E quindi ci sono due campi: ci sono i nazionalismi, che vogliono distruggere l'Unione Europea, e dall'altro, ci siamo noi, che abbiamo l'ambizione di volerla cambiare, rifondare, rimettendo al centro il valore della persona.	 Le implicature conversazionali generalizzate valgono in qualsiasi contesto e si ricavano dal mero assunto di conformità del parlante al Principio di Cooperazione. Talvolta l’implicatura generalizzata è attivata attivata da alcuni usi dei numerali. Nell’esempio proposto, infatti, l'implicatura scalare è che non ci sono più di due campi tra cui scegliere per le imminenti elezioni europee.	impl
Non appena venne affacciata ai primi d'ottobre, da parte dei dirigenti americani, la proposta di dare avvio alla costruzione di una nuova serie di missili da installarsi in Europa occidentale (per la verità in un modo così perentorio e brusco che rimane tutt'ora da capire, pur dopo la spiegazione che ha tentato di darne il presidente del Consiglio), assistemmo ad un fatto deplorevole.	Le implicature conversazionali particolarizzate sono ricavabili solo in determinati contesti comunicativi e in virtù di credenze o fatti che non potrebbero contribuire al calcolo dell’implicatura in un contesto diverso da quello in cui l’enunciato è proferito. Alcune implicature generalizzate sono attivate dal verbo tentare coniugato in un tempo passato, che implica che il tentativo non sia andato a buon fine. Nell’esempio proposto, il politico implica che il Presidente del Consiglio ha tentato di dare una spiegazione ma non ci sia riuscito.	impl
Era una chance semplice e chiara, ma non ce l’abbiamo fatta	" Le implicature convenzionali richiedono che si conosca il significato dell’espressione da cui dipendono. Esse vengono introdotte da alcune categorie di attivatori, tra cui congiunzioni avversative come ma e però, congiunzioni disgiuntive come altrimenti, alcune espressioni avverbiali (es. ""finalmente"", ""proprio"", ""persino""/""perfino"", ""neppure"" e ""nemmeno"") ed alcune congiunzioni concessive e consecutive. Nell’esempio proposto, la congiunzione avversativa ma implica che, trattandosi di una chance semplice e chiara, avrebbe dovuto essere scelta."	impl
[Le prostitute] ci sono, ci sono, controlliamole e tassiamole altrimenti facciamo ipocrisia.	" Le implicature convenzionali richiedono che si conosca il significato dell’espressione da cui dipendono. Esse vengono introdotte da alcune categorie di attivatori, tra cui congiunzioni avversative come ma e però, congiunzioni disgiuntive come altrimenti, alcune espressioni avverbiali (es. ""finalmente"", ""proprio"", ""persino""/""perfino"", ""neppure"" e ""nemmeno"") ed alcune congiunzioni concessive e consecutive. Nell’esempio proposto, la congiunzione disgiuntiva ""altrimenti"" implica che ci sia una relazione di causa-effetto tra non tassare la prostituzione e fare ipocrisia."	impl
Una forza che nasce invece con l’obiettivo opposto, quello di unire, per dare finalmente all’Italia una maggioranza e un governo all’altezza delle esigenze più profondamente sentite dalla gente comune	"Le implicature convenzionali richiedono che si conosca il significato dell’espressione da cui dipendono. Esse vengono introdotte da alcune categorie di attivatori, tra cui congiunzioni avversative come ma e però, congiunzioni disgiuntive come altrimenti, alcune espressioni avverbiali (es. ""finalmente"", ""proprio"", ""persino""/""perfino"", ""neppure"" e ""nemmeno"") ed alcune congiunzioni concessive e consecutive. Nell’esempio proposto, l’avverbio ""finalmente"" implica che l’Italia non abbia mai avuto una maggioranza e un governo all’altezza delle esigenze più profondamente sentite dalla gente comune."	impl
Il Jobs Act non era in nessun programma, eppure l’hanno fatto.	"Le implicature convenzionali richiedono che si conosca il significato dell’espressione da cui dipendono. Esse vengono introdotte da alcune categorie di attivatori, tra cui congiunzioni avversative come ma e però, congiunzioni disgiuntive come altrimenti, alcune espressioni avverbiali (es. ""finalmente"", ""proprio"", ""persino""/""perfino"", ""neppure"" e ""nemmeno"") ed alcune congiunzioni concessive e consecutive. Nell’esempio proposto, il significato avversativo di ""eppure"" implica che sia indesiderabile che un governo attui misure non presenti nel programma elettorale."	impl
L'Europa di cui parlava Benedetto XVI, un' Europa che nasce dall'incontro di diverse civiltà e di cui qualcuno ha perfino negato le radici giudaico-cristiane.	"Le implicature convenzionali richiedono che si conosca il significato dell’espressione da cui dipendono. Esse vengono introdotte da alcune categorie di attivatori, tra cui congiunzioni avversative come ma e però, congiunzioni disgiuntive come altrimenti, alcune espressioni avverbiali (es. ""finalmente"", ""proprio"", ""persino""/""perfino"", ""neppure"" e ""nemmeno"") ed alcune congiunzioni concessive e consecutive. Nell’esempio proposto, l’avverbio ""perfino"" attiva l’implicatura che sia sorprendente che qualcuno abbia negato le radici giudaico-cristiane dell’Europa."	impl
Basta cessioni di sovranità!	"Le implicature convenzionali richiedono che si conosca il significato dell’espressione da cui dipendono. Alcune implicature convenzionali sono attivate dall’esclamazione ""basta"", che implica che il contenuto seguente sia indesiderabile. Nell’esempio proposto, infatti, è implicato che le cessioni di sovranità siano indesiderabili."	impl
Perché, questo servo della finanza, delle banche, dei massoni, delle multinazionali ha venduto l’anima a Bruxelles.	" Nell'esempio proposto, il sintagma nominale introdotto dall’aggettivo dimostrativo ""questo"" presuppone che la persona a cui il politico si riferisce sia un servo della finanza, delle banche, dei massoni e delle multinazionali."	ppp
Abbiate il coraggio di staccarvi da un monarca presidenziale che ha tradito la Costituzione.	" I sintagmi nominali con articolo indeterminativo sono ordinariamente associati alla codifica di un contenuto come non noto al ricevente, in taluni contesti essi possono proiettare due tipi di contenuto implicito. Il primo è una implicatura conversazionale che permette di associare anaforicamente l’espressione introdotta dall’articolo indefinito a un sintagma definito presente nel co-testo. L’anaforicità della descrizione indefinita determina dunque una vera e propria presupposizione di esistenza. Nell'esempio proposto, al momento che il sintagma è anaforico, esso presupporre l’esistenza del suo contenuto, cioè presuppone che esista ""un monarca presidenziale che ha tradito la Costituzione""."	ppp
L’immigrazione, che noi lavoreremo per riportare a casa nostra, è quella dei tanti lavoratori italiani, dei tanti ricercatori italiani che dovranno tornare a riempire le nostre università per cercare di costruirci qua un futuro che gli ultimi governi li hanno costretti a cercare altrove.	" Nell'esempio proposto, il verbo ""tornare"" presuppone che i ricercatori italiani riempissero le università in un tempo precedente a quello in cui è pronunciato il discorso e avessero poi smesso di farlo. Altri predicati della stessa natura sono continuare, riemergere, rinascere, liberare, riuscire (che presuppone si sia tentato)."	ppp
 Ed è vero che questi mi sono apparsi particolarmente sensibili alle incognite che possono percepirsi al livello delle istituzioni locali, maggiormente vicine ai cittadini, benché ora alle prese con pesanti ombre di corruzione e di lassismo.	Alcuni tipi di subordinazione sintattica proiettano presupposizioni di verità, ovvero danno per scontata la verità di uno stato di cose. Nell'esempio proposto, è presentato come già noto che le istituzioni locali siano alle prese con corruzione e lassismo.	ppp
L’importante è saper proporre anche ai cittadini italiani gli stessi obiettivi e gli stessi valori che hanno fin qui consentito lo sviluppo delle libertà in tutte le grandi democrazie occidentali.	La frase relativa è un modificatore nominale, al pari di un aggettivo puro. Essa si dice restrittiva quando concorre a restringere la referenza del suo punto di attacco (o nome testa) da cui è retta, e non restrittiva quando aggiunge informazione accessoria a un punto di attacco già referenzialmente determinato. Queste clausole presuppongono solo nella loro funzione restrittiva poiché si qualificano come strutture a tutti gli effetti subordinate al nome e presuppongono il contenuto che modifica il punto di attacco. Nell'esempio proposto, si presuppone che in tutte le grandi democrazie occidentali lo sviluppo delle libertà sia stato consentito da alcuni obiettivi e valori.	ppp
La Lega, chiunque, anche il peggiore dei nostri nemici, sa che si tratta di un partito di cambiamento, un partito onesto.	"I predicato fattivi proiettano clausole complemento il cui valore di verità è dato per scontato dal parlante e si suddividono essenzialmente in tre categorie: (a) verbali, rappresentati da un verbo vero e proprio, come ignorare, biasimare, pentirsi, sapere, illudersi, ecc.; (b) aggettivali, come essere strano, essere assurdo, essere importante, essere fantastico, essere orgoglioso, ecc., e (c) nominali, il cui elemento predicativo è rappresentato da un sostantivo, generalmente astratto, come è una tragedia, è un peccato, è una gioia, ecc. Nell'esempio proposto, la clausola retta dal verbo sapere dà per noto che la Lega sia un partito di cambiamento ed onesto."	ppp
Signor Presidente, onorevoli colleghi, vorrei poter essere ironica come in altre occasioni, ma oggi non ci riesco.	La presenza di un costrutto di natura comparativa presuppone che una determinata qualità valga anche per un’altra persona o che un determinato stato di cose si sia verificato anche in un’altra occasione. Nell'esempio proposto, è presupposto che il politico sia stato ironico in altre occasioni.	ppp
Vi siete perfino tenuti la follia della fatturazione elettronica, che è un altro provvedimento di Renzi.	Espressioni avverbiali di significato additivo (es. anche, neanche, persino/perfino, ecc.) o iterativo (es. ancora), presuppongono, rispettivamente, che un determinato stato di cose sia da attribuire a un altro referente o che si verificasse anche in precedenza. Nell'esempio proposto è presupposto che si siano tenuti altro oltre alla fatturazione elettronica.	ppp
 Giuro davanti al popolo italiano, per mezzo della Assemblea Costituente, che ne è la diretta e legittima rappresentanza, di compiere la mia breve ma intensa missione di Capo provvisorio dello Stato ispirandomi ad un solo ideale: di servire con fedeltà e con lealtà il mio Paese.	"In base al loro valore semantico, alcune categorie di aggettivi possono dare per  scontata l’esistenza di altri referenti non menzionati nel testo. Nell'esempio proposto l’aggettivo ""solo"" presuppone che il politico si ispiri a un ideale nella sua missione di Capo provvisorio dello Stato."	ppp
E siamo stati i primi a ricordare che se non fossimo intervenuti sull’ambiente, non avremmo avuto neanche un futuro.	Talvolta alcune presupposizioni vengono veicolate attraverso un periodo ipotetico, presupponendo il contrario di quanto ipotizzato nella protasi e nell'apodosi. Nell'esempio proposto, è presupposto che il partito del politico che sta parlando sia intervenuto sull’ambiente e che questo abbia assicurato un futuro.	ppp
