id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
3b836ff9-8088-4df0-b2f1-8287f2a35b81,33 Acres Brewing Company,brewpub,15 West 8th Avenue,,,Vancouver,British Columbia,V5Y 1M8,Canada,,http://www.33acresbrewing.com,-123.1053533,49.2637804
70749225-122e-4824-852b-29680e90c8ec,33 Brewing Experiment,brewpub,25 West 8th Avenue,,,Vancouver,British Columbia,V5Y 1M8,Canada,,http://www.33acresbrewing.com,-123.1053533,49.2637804
6fad664c-ba6d-4ac1-be03-408cc65ab70a,Andina Brewing Company,closed,1507 Powell Street,,,Vancouver,British Columbia,V5L 1S3,Canada,,,-123.0737942,49.2833907
748e6d2f-e6b9-4115-ae86-4828ed2f9c47,Bad Tattoo Brewing Company,micro,169 Estabrook Ave,,,Penticton,British Columbia,V2A 1A5,Canada,12504938686,,-119.5937077,49.4991381
91d2e9ea-dfdc-4469-89ea-1c7adcc2d19e,Balderdash Brewing Co.,micro,688 Abbott St,,,Vancouver,British Columbia,V6B 1H7,Canada,,https://www.balderdashbeer.com,-123.1207375,49.2827291
9056e8df-fe8c-4560-b669-fd31e9074c7c,Barkerville Brewing,micro,185 Davie Street,,,Quesnel,British Columbia,V2J 2S8,Canada,17784142739,http://barkervillebeer.com/,-122.4933399,52.9757055
ae4bf94d-1f03-4f12-a5c1-904c987f3987,Barley Station Brewpub,brewpub,20 Shuswap Street SE,,,Salmon Arm,British Columbia,V1E 4H7,Canada,12508320999,http://www.barleystation.com/,-119.2847443,50.6996989
7dfe1cd0-401a-46f2-a01f-3c74b0741eeb,BC Tree Fruits Cider Co. Brewery,cidery,880 Vaughan Ave,,,Kelowna,British Columbia,V1Y 7E4,Canada,,,-119.484,49.8942
955a2a30-363a-427e-ae1e-905be4de0829,Beard's Brewing Co.,micro,10408 Alaska Rd,,,Fort St. John,British Columbia,V1J 3X2,Canada,12502624104,https://www.beardsbrewing.ca,-120.8531309,56.2396479
8c9f84a1-485e-4ccc-92c1-e8bd54b2e246,Big Ridge Brewing Company,closed,5580 152nd St,,,Surrey,British Columbia,V3S 5J9,Canada,,,-122.8008912,49.1041652
63356683-db1c-4f75-9bb5-98a0d4adf722,Big Rock Urban Brewery - British Columbia Brewery,closed,310 W 4th Ave,,,Vancouver,British Columbia,V5Y 1H3,Canada,,https://bigrockurban.com,-123.110776,49.2674915
b1b07f1f-e574-401e-845b-73dfda5222e6,Bomber Brewing,micro,1488 Adanac Street,,,Vancouver,British Columbia,V5L 3J7,Canada,16044287457,http://www.bomberbrewing.com,-123.074588,49.2774031
ce244228-d25b-4e95-8f2b-91340add0fe0,Boundary Brewing Co.,micro,2 - 455 Neave Ct.,,,Kelowna,British Columbia,V1V2M2,Canada,,,-119.391574,49.9251366
44bb4f9a-eecc-405e-8703-47d26f11d30e,Bowen Island Brewing,micro,275-295 Terminal Avenue,,,Vancouver,British Columbia,V6B 1G1,Canada,,https://www.bowenislandbeer.ca/home,-123.1207375,49.2827291
ee5bc973-fb5d-4874-a775-8e9006d63951,Brassneck Brewery,micro,2148 Main St,,,Vancouver,British Columbia,V5T 3C5,Canada,12364851398,http://brassneck.ca,-123.100784,49.2656785
ae22ea76-dd4d-48d1-ae0c-61042ef9b642,Bridge Brewing Company - Charlotte,micro,1448 Charlotte Road,,,North Vancouver,British Columbia,V7J 1H2,Canada,16047702739,http://bridgebrewing.com/,-123.1107589,49.3191383
c48a9522-9d3c-406d-8144-ff8a3b7c2078,Bridge Brewing Company - Lonsdale,brewpub,1211 Lonsdale Ave,,,North Vancouver,British Columbia,V7J 1H2,Canada,16049901218,http://bridgebrewing.com/,-123.0339211,49.3097411
e87a6521-a7ae-4c97-8971-bce66c2465a2,Bridge Brewing Company - Pemberton,brewpub,1123 West 15th Street,,,North Vancouver,British Columbia,V7P 1M7,Canada,16049730606,http://bridgebrewing.com/,-123.1314885,49.319213
ef36c636-3602-4b9f-a1ef-a3552582c2fd,Britannia Brewing Company - Ladner Village,brewpub,4821 Delta St,,,Delta,British Columbia,V4K 2T7,Canada,16049401900,http://www.britanniasteveston.ca/,-123.0881992,49.0905781
f294a53e-8811-4cd0-bff3-ccd1f6549c4a,Britannia Brewing Company - Lake Country,micro,8999 Jim Bailey Rd,,,Kelowna,British Columbia,V4V 1S4,Canada,16042739379,http://www.britanniasteveston.ca/,-119.3937816,50.0112552
e2aeb2b2-4225-4114-884d-a24b17e8a387,Britannia Brewing Company - Steveston Vollage,brewpub,Unit 250 - 12240 2nd Avenue,,,Richmond,British Columbia,V7E 3L8,Canada,16042709252,http://www.britanniasteveston.ca/,-125.6229041,49.1242403
c369abf6-433f-4a1f-a438-d63c261742b6,Cannery Brewing,brewpub,198 Ellis Street,,,Penticton,British Columbia,V2A 4L5,Canada,12504932723,http://www.cannerybrewing.com,-119.5943952,49.4828832
9f21869e-ccee-4184-948d-0f1c3703fbc8,Category 12 Brewery,brewpub,2200 Keating Cross Road,,,Victoria,British Columbia,V8M 2A6,Canada,12506529668,http://category12beer.com/,-123.4006865,48.5652029
1a4fd3f4-baa9-446c-a565-1f3c460d8c56,Central City Brewing Company - Main Brewery,micro,13450 - 102 Avenue,,,Surrey,British Columbia,V3T 5X3,Canada,16045882337,http://www.centralcitybrewing.com/,-122.84959,49.1883635
e491569f-4349-4ccf-8767-e59d8c353fb3,Central City Brewing Company - Surrey,closed,11411 Bridgeview Dr.,,,Surrey,British Columbia,V3R 2N1,Canada,16045882337,http://www.centralcitybrewing.com/,-122.845,49.1991
8c00d1b5-ab30-4eae-9ffc-4592053ccce0,Craig Street Brewing Co.,brewpub,25 Craig Street,,,Duncan,British Columbia,V9L 1V7,Canada,12507372337,https://csbrewery.ca/craig-street-brewpub/,-123.708545,48.77724
7a17204d-d03f-4c2d-b8df-afca89547222,Crannóg Ales Brewery,micro,"706 Elson Road,",,,Sorrento,British Columbia,V0E 2W1,Canada,12508634262,http://www.crannogales.com,-119.5067239,50.8810382
59fd2711-b140-44e2-accd-3d8459c40d36,Cumberland Brewing Company,brewpub,2732 Dunsmuir Ave.,,,Cumberland,British Columbia,V0R 1S0,Canada,12504002739,http://cumberlandbrewing.com/,-125.0280196,49.619196
971e6e3f-c83f-4c82-996e-df41102f76ce,Dageraad Brewing,micro,"#114, 3191 Thunderbird Crescent",,,Burnaby,British Columbia,V5A 3G1,Canada,16044202050,http://dageraadbrewing.com/,-122.9217409,49.2560299
b0bf7215-4434-4f38-86e3-76d6d257eb68,Dead Frog Brewery,micro,27272 Gloucester Way,,,Aldergrove,British Columbia,V4W 4A1,Canada,16048561055,http://www.deadfrogbrewery.com/,-122.469246,49.098017
26109987-2825-47eb-b3d6-2fe5c7d2b57d,Detonate Brewing,brewpub,#103 9503 Cedar Ave.,,,Summerland,British Columbia,V0H 1Z3,Canada,17785161119,https://www.detonatebrew.com/,-119.6779042,49.5872533
fbcea47b-76f9-41eb-9014-2a3f30e4947a,Doan's Craft Brewing Company,closed,1830 Powell St,,,Vancouver,British Columbia,V5L 1H9,Canada,,,-123.0672742,49.2841859
e378bee7-0f89-4de4-97f3-abfa0e5a4752,Dominion Cider Co. Brewery,cidery,10216 Gould Avenue,,,Summerland,British Columbia,V0H1Z8,Canada,17785168006,http://dominioncider.com/,-119.6925893,49.5898294
c11e3c58-b0d8-4f57-a7ff-44fbf055b78b,Driftwood Brewery,micro,450 Hillside Avenue,,,Victoria,British Columbia,V8T 1Y7,Canada,12503812739,http://www.driftwoodbeer.com/,-123.3738423,48.4370058
7d6f73ca-3c4b-4eb2-9dcd-d83908d250fa,Faculty Brewing Co,micro,1830 Ontario Street,,,Vancouver,British Columbia,V5T 2W6,Canada,17787166794,https://www.facultybrewing.com/,-123.1045352,49.2686702
0cee2792-d588-482b-b64c-6ed3603cd21d,Fernie Brewing Co,micro,26 Manitou Rd.,,,Fernie,British Columbia,V0B 1M5,Canada,12504237797,http://www.ferniebrewing.com/,-115.047455,49.526552
257e02e1-d0c2-4167-ba6c-cfaa7fab4fe0,Fisher Peak Brewing Company,brewpub,821 Baker St,,,Cranbrook,British Columbia,V1C 1A2,Canada,12504267922,https://www.theheidout.ca/beer,-115.7691146,49.5118642
9af83555-eeaf-4263-8c98-ae8d7cffc75a,Foamers' Folly Brewing Co.,micro,19221 122a Ave,,,Pitt Meadows,British Columbia,V3Y 2E9,Canada,16044597837,http://www.foamersfolly.ca,-122.6890521,49.2248538
bbcbbe7a-488b-465d-9e06-6603c6c042b5,Four Winds Brewing - Beach House,brewpub,6350 Market Avenue,,,Delta,British Columbia,V4L 0B1,Canada,16049402985,http://www.fourwindsbrewing.ca/,-123.0500361,49.007116
8ca77a8b-888d-4d23-a336-dbf80d990529,Four Winds Brewing - Taproom,brewpub,4-7355 72nd Street,,,Delta,British Columbia,V4G 1L5,Canada,16049409949,http://www.fourwindsbrewing.ca/,-123.0295949,49.1362356
93f080ec-8046-4cb2-b3cc-d5b0fb57268a,Freddy's Brewpub,brewpub,124-948 McCurdy Rd,,,Kelowna,British Columbia,V1X2P7,Canada,12507658956,https://www.mccurdybowl.com/,-119.4054164,49.9029574
ed1a10cd-0170-48d1-ae91-8c54e37e98b5,Gladstone Brewing Company,micro,244 4th Street,,,Courtenay,British Columbia,V9N 1G6,Canada,12508711111,http://www.gladstonebrewing.ca/,-124.998183,49.691771
04bfc73f-b592-472a-ac7e-773a14709da3,Granville Island Brewing,brewpub,1125 Richter Street,,,Kelowna,British Columbia,V1Y 2K6,Canada,16046872739,http://gib.ca/,-119.4883551,49.8948111
